fecha,bca,bcs,sin
2/1/2021,805857,149550,14670191
3/1/2021,862664,173976,16242587
4/1/2021,996947,174853,17182763
5/1/2021,1014973,197509,19281057
6/1/2021,1103304,212684,20147784
7/1/2021,1246603,310344,19394896
8/1/2021,1149805,287110,19881950
9/1/2021,1020363,254727,19226411
10/1/2021,995426,253112,18254751
11/1/2021,889775,202348,14779268
12/1/2021,934549,199121,15649761
1/1/2022,932553,185662,16117454
2/1/2022,823070,159737,15254052
